	text_id	text	task_1	task_2	task_3	clean_text
3260	hasoc_hi_2760	अशफाक उल्ला खां वंदेमातरम गा करके फांसी चढ़ गये सपा सांसद और ओबैसी  वंदेमातरम को इस्लाम के खिलाफ बता रहा,    ये कौन से मुसलमान है? 	HOF	HATE	TIN	अशफाक उल्ला खां वंदेमातरम गा करके फांसी चढ़ गये सपा सांसद ओबैसी वंदेमातरम इस्लाम खिलाफ बता मुसलमान
505	hasoc_hi_2394	यही अगर किसी मस्जिद में हुआ होता तो रंडी रोना स्टार्ट कर देते तू भड़वे लोग अभी तो शांति बनाए के लिए ही बोलोगे	HOF	PRFN	UNT	अगर मस्जिद रंडी रोना स्टार्ट देते तू भड़वे लोग शांति बनाए बोलोगे
1103	hasoc_hi_2638	नमस्ते उत्तर प्रदेश में कानून व्यवस्था चुस्त और दुरुस्त है पहली सरकारों के मुकाबले बेहतर है हमने तो अपने जीवन में पहली बार यूपी पुलिस को एक सराहनीय काम करते हुए देखा है जो एक पत्रकार के साथ हुआ है जितनी सराहना की जाए यूपी पुलिस की कम है योगी सरकार जिंदाबाद	NOT	NONE	NONE	नमस्ते उत्तर प्रदेश कानून व्यवस्था चुस्त दुरुस्त पहली सरकारों मुकाबले बेहतर हमने जीवन पहली बार यूपी पुलिस सराहनीय काम देखा पत्रकार जितनी सराहना जाए यूपी पुलिस कम योगी सरकार जिंदाबाद
3924	hasoc_hi_66	मुंबई मेरा नाम, ठहर गए सारे काम ,  मायानगरी की यही कहानी, हर साल पानी ही पानी !!  #ATVideo   अन्य वीडियो: http://bit.ly/at_videos 	HOF	OFFN	UNT	मुंबई मेरा नाम ठहर गए सारे काम मायानगरी कहानी हर साल पानी पानी #atvideo अन्य वीडियो http//bitly/atvideos
855	hasoc_hi_5868	तू खुद ऐक मिस्टेक हें भड्वा 	HOF	PRFN	TIN	तू खुद ऐक मिस्टेक भड्वा
2095	hasoc_hi_7361	राहुल की कांग्रेस कोJ&Kमें राष्ट्रपति शासन से इतनी पीड़ा क्यों हो रही है' क्याJ&Kकी बागडोर पाकिस्तान के इशारों पर नाचने वाले अब्दुल्ला, मुफ्ती जैसे ग़द्दारों के हाथों नहीं है इसलिए या कांग्रेस पत्थरबाज आतंकियों को छूट देना चाहती हैं,ताकि फ़िर से वहां पहले जैसा माहौल ख़राब हो जाय।	HOF	OFFN	TIN	राहुल कांग्रेस कोjkमें राष्ट्रपति शासन इतनी पीड़ा क्यों रही क्याjkकी बागडोर पाकिस्तान इशारों नाचने अब्दुल्ला मुफ्ती ग़द्दारों हाथों इसलिए कांग्रेस पत्थरबाज आतंकियों छूट देना चाहती हैंताकि फ़िर माहौल ख़राब जाय।
372	hasoc_hi_3602	चाय, पीकर, चौकिदारी ,कर रहे है ।	NOT	NONE	NONE	चाय पीकर चौकिदारी ।
1769	hasoc_hi_2688	इस जिद के कारण उसका विवाह 14 वर्ष की अवस्था में वर्धा के एक विधुर वकील पुरुषोत्तमराव केलकर से हुआ, जो दो पुत्रियों के पिता थे। विवाह के बाद उसका नाम #लक्ष्मीबाई हो गया।अगले 12 वर्ष में लक्ष्मीबाई ने छह पुत्रों को जन्म दिया। वे एक आदर्श व जागरूक गृहिणी थीं। 	NOT	NONE	NONE	जिद कारण उसका विवाह 14 वर्ष अवस्था वर्धा विधुर वकील पुरुषोत्तमराव केलकर पुत्रियों पिता थे। विवाह उसका नाम #लक्ष्मीबाई गया।अगले 12 वर्ष लक्ष्मीबाई छह पुत्रों जन्म दिया। आदर्श जागरूक गृहिणी थीं।
3218	hasoc_hi_4908	अम्मा जिनसे एवार्ड लिए बैठी हैं उनके खिलाफ कहाँ ज़बान खुलेगी!     ये ज़िन्दगी है परेशानियों से मत डर जा   सुबह का भूला है तो शाम को घर जा   अरे ये हमारा ईमान ही तो सब कुछ है   हराम खाने से बेहतर है भूखा मर जा   (रेहान हाशमी, कवि)	HOF	OFFN	UNT	अम्मा जिनसे एवार्ड बैठी खिलाफ कहाँ ज़बान खुलेगी ज़िन्दगी परेशानियों मत डर सुबह भूला शाम अरे हमारा ईमान सब हराम खाने बेहतर भूखा मर रेहान हाशमी कवि
2359	hasoc_hi_3120	#ठंडक पड़ गयी ये नज़ारा देख के, #कमीने छुप के सेना के वीरो पे गोली दागते है, अब लगे है सेना के हाथ, पहुच गए #हूरो के पास !! इनकी लाश के पास आज कोई कुत्ता भी नही था, सब के सब जलील थे !!!	NOT	NONE	NONE	#ठंडक पड़ गयी नज़ारा देख #कमीने छुप सेना वीरो गोली दागते अब लगे सेना हाथ पहुच गए #हूरो पास इनकी लाश पास आज कुत्ता नही सब सब जलील
383	hasoc_hi_7485	#RahulGandhi के #CongressPresident का पद छोड़ने के फैसले से पीछे नहीं हटने के बाद #Congress में इस्तीफों की झड़ी लग गई है। गोवा कांग्रेस अध्यक्ष और दिल्ली कांग्रेस के कार्यकारी अध्यक्ष समेत 120 से ज्यादा पदाधिकारियों ने अपने पद से इस्तीफा दे दिया है।	NOT	NONE	NONE	#rahulgandhi #congresspresident पद छोड़ने फैसले पीछे हटने #congress इस्तीफों झड़ी लग गई है। गोवा कांग्रेस अध्यक्ष दिल्ली कांग्रेस कार्यकारी अध्यक्ष समेत 120 ज्यादा पदाधिकारियों पद इस्तीफा दे है।
3928	hasoc_hi_1696	हिटलर सच में हिटलर निकला .....  #कमीने ने मरते दम तक ये नहीं बताया....  कि गुजरात में उसका एक पोता भी है,	HOF	OFFN	UNT	हिटलर सच हिटलर निकला #कमीने मरते दम बताया गुजरात उसका पोता
2576	hasoc_hi_690	मारवाड़ी की ख़ूबसूरत बेटी का चुत में मेरा लुंड 	HOF	PRFN	UNT	मारवाड़ी ख़ूबसूरत बेटी चुत मेरा लुंड
801	hasoc_hi_6516	माधरचोद तेरे को पाकिस्तान बुला रहां है वहा जाकर शांतीसे पुरे परिवार या पुरे खानदान के साथ जाकर गौतम बुद्ध के तरह क्यो नही पाकिस्तान मे अपने बिचार को रखता माधरचोद तेरी मां बहन बेटी बीबी हर रोज हलाला का आनन्द लेती है मगर जब पाक चले जाओगे तो वह भी खुद को सुरक्षित मेहसुस करेगी हरामी	HOF	PRFN	UNT	माधरचोद तेरे पाकिस्तान बुला रहां वहा जाकर शांतीसे पुरे परिवार पुरे खानदान जाकर गौतम बुद्ध क्यो नही पाकिस्तान बिचार रखता माधरचोद तेरी मां बहन बेटी बीबी हर रोज हलाला आनन्द लेती पाक चले जाओगे खुद सुरक्षित मेहसुस करेगी हरामी
2240	hasoc_hi_7602	अबे साले हरामि  तु केया समजे ग कि मुस्लिम कौम केया चीज है  कियू कि तु ऐक गनदा खुन है गनदा धर्म हिन्दू 	HOF	HATE	TIN	अबे साले हरामि तु केया समजे ग मुस्लिम कौम केया चीज कियू तु ऐक गनदा खुन गनदा धर्म हिन्दू
2636	hasoc_hi_4284	@PM_Nepal @brb1954 @GovtofNep @KTnepal सरकार देशलाई रंडि को नाच न नचा । आफ्नो फाईदाको लागि जईले मन लायो बन्द गर्यो जुन पार्टिले पनि । अलिकती लाज छ भने देश बन्द गर्ने संस्था हरुलाई कार्यवाही गर । विश्व भरीनई हांसो भाको छ,चोरहरु ले देश चलाउदै भनेर । Have some balls and do something	HOF	PRFN	TIN	सरकार देशलाई रंडि नाच नचा । आफ्नो फाईदाको लागि जईले मन लायो बन्द गर्यो जुन पार्टिले पनि । अलिकती लाज छ भने देश बन्द गर्ने संस्था हरुलाई कार्यवाही गर । विश्व भरीनई हांसो भाको छचोरहरु ले देश चलाउदै भनेर । have some balls and do something
4254	hasoc_hi_6853	@hardikpandya7 भोसड़ी के तेरा बाप मैच करवा रहा है ये जो मुँह उठा के कोई भी शॉट मार रहा है  विजय शंकर को फिट होने दे तेरी गांड में गुल्ली भर के भगाएंगे	HOF	PRFN	TIN	भोसड़ी तेरा बाप मैच करवा मुँह उठा शॉट मार विजय शंकर फिट दे तेरी गांड गुल्ली भर भगाएंगे
1205	hasoc_hi_5116	दुनिया का बोझ जरा दिल से उतार दे,    छोटी सी जिंदगी है हँस के गुजार दे....    राधे राधे  जय श्री कृष्ण दोस्तो  @YogeshSahu555	NOT	NONE	NONE	दुनिया बोझ जरा दिल उतार दे छोटी सी जिंदगी हँस गुजार दे राधे राधे जय श्री कृष्ण दोस्तो
4660	hasoc_hi_6606	पाकिस्तान ने हिंदुओं के ख़िलाफ़ बोलने वाले को बर्खास्त किया है । क्या भारत में भी मुसलमानों के ख़िलाफ़ ज़हर उगलने वालों को मोदी जी करेंगे बर्खास्त ? ⁦@narendramodi⁩ ⁦@BJP4India⁩ ⁦@RSSorg⁩ ⁦@INCIndia⁩	NOT	NONE	NONE	पाकिस्तान हिंदुओं ख़िलाफ़ बोलने बर्खास्त । क्या भारत मुसलमानों ख़िलाफ़ ज़हर उगलने वालों मोदी जी करेंगे बर्खास्त ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩
3993	hasoc_hi_3112	दिल्ली में बिजली सस्ती की जा रही है जबकि up में महंगी,  फर्क तो रहेगा ही,   एक IIT वाला है,  एक घण्टा बजाने वाले।  @ajitanjum @ziddy_zoya_ @BebakAawaj @VoiceofmyBharat @Anjupra7743	HOF	OFFN	UNT	दिल्ली बिजली सस्ती रही जबकि up महंगी फर्क रहेगा iit वाला घण्टा बजाने वाले।
3491	hasoc_hi_2617	भोसडीके मोदी के नाम गली के गुंडों को वोट मिल रहा है किसी पत्रकार ने पूछा तो आपके बेटे ने ऐसा किया तो उसको औकात क्या है बोलता है थोड़ी शर्म कर ले तुम्हे इस बकवास के लिए वोट नहीं दिया है	HOF	PRFN	UNT	भोसडीके मोदी नाम गली गुंडों वोट मिल पत्रकार पूछा आपके बेटे ऐसा उसको औकात क्या बोलता थोड़ी शर्म ले तुम्हे बकवास वोट
2830	hasoc_hi_6939	#विश्व का सबसे सस्ता #इंटरनेट चला के,                              #घर बैठे ही #सिलेंडर मंगा के ।    कुछ #कमीने पूछते हैं..                      #अच्छे_दिन_नही_आए_अभी_तक                        #राधे_राधे_मित्रों	HOF	HATE	UNT	#विश्व सस्ता #इंटरनेट चला #घर बैठे #सिलेंडर मंगा । #कमीने पूछते #अच्छेदिननहीआएअभीतक #राधेराधेमित्रों
3369	hasoc_hi_3623	जिस धर्म में सब हराम है सोचो उसको बनाने वाला कितना हरामी होगा।  #ZairaWaseem	HOF	OFFN	TIN	धर्म सब हराम सोचो उसको बनाने वाला हरामी होगा। #zairawaseem
452	hasoc_hi_3300	#IndvsEng दुनिया की दो बेहतरीन टीमों के बीच आज मुकाबला, #पाकिस्तानियों की दुआ है जीत भारत की हो	NOT	NONE	NONE	#indvseng दुनिया बेहतरीन टीमों बीच आज मुकाबला #पाकिस्तानियों दुआ जीत भारत
