sentence,hate,category
"খানকির পোলা কোত্থেকে বাহির হইছত,,গুটিকয়েক পরগাছা ছাড়া তোরে আর কারো ছো...র টাইম আছে নি।।বা.....দ।।ওয়াক থু",1,celebrity
এই মাগী বাংলাদেশ থেকে সোনাগাছিতে এসেছে চোদন খেয়ে পয়সা কামাতে শালি হালালার পয়দা,1,"Meme, TikTok and others"
আমাদের দেশে অনেক ইসলামিক নেতা লোকেরা আছে বিভিন্ন বিষয় নিয়ে ইসলামের পক্ষে হাউ কাউ করে চিল্লায় যদি তাই হয় তাহলে এসব খানকিদের কে ইসলামের নেতারা কিছু বলে না কেন,1,entertainment
ও একটা খানকি তা না হলে জামাই থাকতে পর পুরুসের সাথে লুচ্চামি করে,1,crime
তোর জাতেরে হালাই চুদমু এক ঠেং কাদে নিয়া,1,"Meme, TikTok and others"
এই সুওরের বাচ্চা ওসিকে সিরাজের সাথে জ্বালানো হউক!!! যদি দেশে আইন থাকে!,1,crime
মাগির পোয়ারে পাসি দেওয়া উচিত,1,"Meme, TikTok and others"
হিরচি গুলো এখানে জমা হইছে মম চুতমারানি কে ভালো ভাবতাম যে যার মত সবাইকে অপমান করতেছে,1,entertainment
মাদারচোদ চামচামি বাদ দে।,1,celebrity
জন্তু জানোয়াররাও আল্লাহ কে সিজদা করে। একে জানোয়ার বলে গালি দিলে জানোয়ারের অবমাননা করা হয়। এর কি শাস্তি হবে তা আল্লাহ ভালো জানেন?,1,religion
এই কুত্তা কে ফাশি দেয়া দাকার,1,"Meme, TikTok and others"
মাদার চোদ এই খবর কোথায় পেলি ইংল্যান্ড এর হয়ে খেলবে,1,sports
ছাগল ইফতেখার ফাহমিকে সবচেয়ে বেশি ভরার কথা ছিলো অথচ তাকে ভাই বানিয়ে তার প্রতি আপনি সদয় ছিলেন। ছাগলটা হিট দু একটা নাটক বানিয়েছে তো কী এমন করছে! কারো প্রতি স্বদয় আবার কারো নির্দয় এসব স্বজনপ্রীতির আওতায় পড়ে বুঝলেন।,1,entertainment
এই সব সালা দের কে জুতা পিটা করে দেশ থেকে বাহির করা হক কে কে রাজি 👿👿👿,1,crime
চুদার সময় ধরা খেলেন ডিসি। চুদা আর হল না আফসোস,1,crime
"ছাগল গুলা কাঠাল পাতা মনে করে, খাওয়ার জন্য এসে ভিড় জমিয়েছে... ছাগুর বাচ্চারা তুরা অার কবে মামনুষ হবে.???",1,celebrity
এই বেশ্যাদের আগুনে পুড়িয়ে মারা উচিত,1,crime
খানকির পোলারে জুতা কে কে মারবেন আমার সাথে সারা দিন,1,religion
পাপন শালা তুই এতো লেকচার না দিয়ে বুকে সাহস থাকলে পদত্যাগ কর!! তোকে বাংলাদেশ ক্রির্কেট পরিচালক হিসাবে চাইনা আর ওরা আন্দোলন শুধু ওঁদের জন্য করে নাই সকল ক্রির্কেটারদের জন্য করছে তুই দেশের ক্রির্কেট এরজন্য কি বাহ কতটা করতেছিস সবাই জানে!! তুই সাকিব মুশফিক মিরাজ এবং সবাইকে নিয়ে বাজে খারাপ কথা বলছিস তোকে জুতা পেটা করা উচিৎ কুকুরের দুই নাম্বার বাচ্চা পাপন মাদারিচোদ তুই তোর নিজের পকেট কতটা বরছিস সেটার হিসাব দে আগে পাপন কাক্কু!! নতুন করে ক্রির্কেট পরিচালক গঠন করা হোক এইটা দেশের ক্রির্কেট বক্তদের দাবী!! চোরের মায়ের বড় গলা যেমন তুই পাপন কাক্কু গলা এখন বড় হয়ে গেছে!! বাহিরে দেশে সব খেলায় লাইভে দেখায় আমাদের দেশে কয়টা খোলা লাইভে দেখাই বাহ দিস সেটা বল পাপন কাক্কু!! এতো খেলোয়াড় দের মধ্যে শুধু একটা মাত্র খেলোয়াড় এর কথা বলি!! ইমরুল কায়েস তোর বউ মেয়ের হোগ্ঙা মারছে নাকি নয়তো ওঁকে দলে চান্স দিস না কেন সেটা বল আগে হারামজাদা কুকুরের দুই নাম্বার বাচ্চা পাপন কাক্কু!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1,sports
সালিকে ফাঁসি দেওয়া হক,1,crime
শালা মিত্যা আমির হামজা তর মারে বাপ কাংকার পুলা,1,religion
সালার পুত,1,religion
সব ঠিক আছে হিজড়ার কাছে বাচ্চা চাওয়াটা ঠিক নেই,1,sports
জাফর বোকাচোদা  👎👎👎 দালাল👎,1,celebrity
কুত্তার বাচ্চা কুত্তার বাচ্চা কুত্তার বাচ্চা ভারত এর সাথে জরিতসাকিব কে নিয়ে নোংরা খেলা খেলছে।পাপনের গালে আগে জুতা মার।সাকিব কে বছরের জন্য নিশিদ্ধ করেছে। এক বছরের সাজা বাতিল।,1,sports
শয়তানের বাচ্চা কুত্তার বাচ্চা ফাঁসি দেওয়া দরকার,1,"Meme, TikTok and others"
দর্শক ছিড়া জুতা মারে নাই তো দর্শক ভালো খারাপ মন্তব্য করতে পারে এতে দোষের কিছু নেই আমার মনে হয় মুশফিক গাঁজা একটু বেশি খায়ছে !!,1,sports
হায়রে বাংলাদেশের আইন এগুলো বালের আইন অন্যায় করে এখনো চাকরি থাকে কুত্তা লীগের বাচ্চার হাতে দেশ টা নষ্ট করে দিয়েছে,1,crime
ওই মাদারির বাচ্চারে জুতামার। ওরা আইনের নাম করে । বেআইনি কাজ করে। আর ধরা পরলেই কিছু জানে না।,1,crime
পভা খারাপ মেয়ে,1,entertainment
যত সব হাগল ছাগল।,1,entertainment
লুচ্চা ডিসি,1,crime
আমেরেইকা কি চোদাইতে গেছিলি মাদার চোদ,1,celebrity
মাগীর বাচ্চা মাগী যখন চুদাচুদি করলি তখন সন্তানদের কথা মনে ছিলো নাহ তোদের মত বেহাইয়া খানকিদের কারণেই অন্য মেয়েরা দিন দিন ধর্ষণ হচ্ছে! এহ হিজাব লাগাইছে আবার এই যুগের শ্রেষ্ঠ বেশ্যা তুই মাগী 🤣😂😜😜😜😜😜😀😀😀,1,crime
You big mad,1,celebrity
বিচারক দু জনের পুটকি মারা দরকার তাহলে তাদের ব্যবহার ভালোহবে।খানকি আর খানকির োলারা বিচারক।,1,entertainment
"জারজ স্যর আপনি  গুজব ছড়াচ্ছেন,  স্যর আপনার গুজব কমিটির  সংগীরা  কৈ।",1,celebrity
😂হালা আবাল,1,entertainment
মুদির বেশি আর সময় নাই সালার মালাউনের বাচ্চা রা তোদের বংশধর শুয়োরের,1,"Meme, TikTok and others"
ভাই ঐ হালা দুইটারে কিছু খওয়ার নাই ওরা তো কুত্তার বাচ্চা। কিন্তু মম আর ফারিয়ার চরিত্র নাটকে দেখেচি। বাস্তবে যে ওরা পতিতা থেকে ওঠে এসেছে যানতাম না এটা আজকে জানলাম। ওদের বাস্তব ব্যবহারের মাধ্যমে।,1,entertainment
মাগি নিয়ে বালের মজা কানকির পোলক,1,entertainment
বাল পাপনের বাল ছিড়বা দেইবেতন আরও কিছু বাড়াইদেই 😂,1,sports
"মদ খা হারামজাদা, মদ যদি না খেতে পারিস তাহলে শুঁটকি খেয়ে পেত্নী চু......…!",1,celebrity
মাগির পুয়া তুরে এস্টেজে আনছে কে ? আবাল চুদা,1,religion
বাল ছিল মাদার চুদ,1,sports
আরে পাপন শুওর এর বাচ্চা টাকা খায়ে যাচ্ছেআর এই ভারত সফর পুরোটাই ফিক্সিং😒 মাদারচোদ পাপন টাকা খায়ে যাচ্চে জানোয়ার এর বাচ্চাওর মাথাটা কেউ পদ্দা সেতু তে পিলার এ ঢুকায় দে কেউ ভাই।,1,sports
জাফর তুই একটা প্রথম শ্রেণির বেয়াদব,1,celebrity
তাকে জাতীয় মাগির পদক দেওয়া হোক,1,entertainment
তুমি পপিও সেই সময় বহুজনকে চোদা দিছোতুমি আরো বড় যৌনকর্মি,1,"Meme, TikTok and others"
আনলাইক করা জন কি দেওয়ানবাগীর ফলোয়ার নাকি!!! কি রকম ব্রেইন আর আই ওয়াশ করে রাখছে সালা ভন্ড দেওয়ানবাগী!!! ক্যারি অন তাহসিন ভাই!👏👏👌✌,1,religion
মাহাস তুই সয়তান হারামি,1,entertainment
খানকির পুতেরারে জুতা দিয়া পিটা দেওয়া উচিত,1,religion
খানিক পুলা মাদার চুদ পাপন,1,sports
এরাই হাসিনার সোনার ছেলে। না হলে হাসিনা মাগী ক্ষমতায় থাকবে কি করে।,1,crime
সানাই সানাই ওরে কুত্তা দিয়ে আর বললাম না,1,entertainment
"শালারে জুতা পিটা করা দরকার,,একটি নাটকে কোন ভালো কিছু শেখার নেই,,শালারে কিসের জন্য মিডিয়াতে অভিনয় করতে দেয়,,ওর মত অভিনেতার জন্য দিন দিন আমাদের আগের সম্মানটা নষ্ট হয়ে যাচ্ছে,,,",1,entertainment
তুই একটা জানুয়ার,1,celebrity
তুই মুসফিকের নামে মামলা দে তাহলে দেখবি সব সত্যি বেরহয়ে আসবে তাহলে তেল মারা সব মাদারচুদ ঠিক হয়ে যাবে,1,sports
এডমিন তুই কিন্তু আর জাই হোস মানুষের বাচ্ছা হতে পারিসনা তুই একটা জারজ কুত্তার বাচ্ছা,1,religion
জারজ সন্তানের খবর আসে মিডিয়ায় কিন্তু ইসলামিক কোন খবর আসে না মিডিয়ায়,1,"Meme, TikTok and others"
সাউয়া মিডিয়া😂😂😂😂😂😂😂😂😂😂😂,1,entertainment
মাদার চোদ্দ তর মা#,1,"Meme, TikTok and others"
সালা বরিশাইলার বাচা 🤬রবি। খানকির পোলা 😡 লোকটা বলো কিছু বলে নাই 😡 তুই বার বার লোকটা রে হাত দরে টানোছ😡 কুতার বাচা😡,1,sports
সে একদিন কুত্তার মত মরবে,1,religion
হায়রে মাদারচো যে ক্যামেরা লাগিয়ছে তাকে পুরস্কার দেওয়া উচিৎ,1,crime
কবিরা মাগীর হোলা হেড়া হুড়া হাড়াইলামু মাদারচোদ।,1,religion
যশোর মারে চূদি খানকির পো হালার পো হালা,1,entertainment
চুদির পুতেরে বানানো হোক,1,crime
কত ইস্মার্ট ছেলেরা এমন আবাল চুদা শোতে গিয়ে নিযের সৌন্দর্যকে অপমান করছে,1,entertainment
চাকরি থেকে বার করে দিন পশুটাকে,1,"Meme, TikTok and others"
হালা কসাই,1,celebrity
ভিপি নূর ভাইকে জে গায়ে হাত তুলেছে সে হলো রাজাকার এবং দেশের সক্রু আর জারজ সন্তান,1,politics
.....সুশীল জানোয়ার;,1,celebrity
মিথিলা একটা খানকি,1,"Meme, TikTok and others"
সাবার ম কাথা হলো পাপনের পদত্যাগ চাই। আর মাদারচোদ পাপনের বিচি কাইটা দেওয়া হোক😡😡😡,1,sports
এতো দিন মাগিগো অনেক ভালো জানতাম ওরা দি বাইন চোদ খানকি মাগি ভাই ভিডিও টা দেইখা মাথা গরম হয়ে গেছে বন খাডাস গুলা চ্যানেল আই পাইছে কোথায়,1,entertainment
তদন্ত সে করবে মাগীর পুত,1,crime
ওই খানকির বাচ্চা রেন্ডির ছেলে মেয়ে মানুষকে সন্মান করতে শেখনতুন নতুন বালের ভিডিও আপলোড করিস তুই যে মেয়েটির ছবি দিয়েছিস সে কারো বোনস্ত্রী মাবোকা চোদা তোর মা বোন স্ত্রী এদের মাং এর ফুটো দুধের ছবি এগুলো,1,"Meme, TikTok and others"
এই ষাঁড়ের বিপরীতে বা তাকে নিয়ে কিচ্ছু বলতেই বিবেকে বাঁধে আমার!   এ কি মান+হুঁশ এর পর্যায়ে পরে কিনা আমার জানা নাই।  কোন মানদণ্ড থাকলে কেউ জানাবেন। মেপে দেখবো সরকার আমার মান কতটুকু বাকী রেখেছে। তারপর এরটা মাপবো।,1,celebrity
কুত্তার বাচ্চা শিকক্ষ,1,politics
বেগম জিয়ার বিরুদ্ধে এ পাগলি বলে কি ?,1,politics
পাপোন হারাম জাদা,1,sports
রিফাত ফরাজির ফাঁসি চাই এই কুলাংগার মায়ের কুলাংগার সন্তান কুখ্যাত খুনি এবং মিন্নি ডাইনি সহ মিন্নি হলো সমাজের কাল সাপ,1,crime
ভিডিও তো আর কেউ বানায় নাই এটা কলেজ সিকিউরিটি ফুটেজ কাজেই আর প্রমান লাগে না রিফাতকে গুলি বা ফাসী দিয়ে নয় সরাসরি ঐ কলেজ গেইটে এনে রাস্তায় দিনের আলোতে মৃত্যু না হওয়া পর্যনত জন মিলে কুপিয়ে যখম করা আর মিননির কথা কি বলবো ওতো মেয়েদের সারিতেই পড়ে না যারা পতিতাবৃত্তি করে ওদের ও একটা সমমান আছে মিননি খানকিরতো তাও নাই ওকে ও প্রকাশ্যে পাঠা বলী দেয়া হবে আসল বিচার দিখ মিননির জন্ম দাতা পিতা মাতাকে যারা মেয়ে নিয়ে ব্যাবসা করে এটা ব্যাবসার মতোই শুধু জন্ম দিলে কর্তব্য শেষ হয়না মেয়ের বেহায়াপনা ও নজর রাখতে হয় বাংলার কোটি মানুষের থুথু ঐ কুলাংগার মাতা পিতার উপর। তোরা ভিডিওটা ভালো করে চোখ দিয়ে দেখিস।,1,crime
"বেওয়ারিশ কুত্তারা আবার কমেন্টে এটাক করে..:p করতে থাক,তোদের জন্মপরিচয় চেনার জন্যে সেটা দরকার..!!",1,celebrity
সালার পুতেরা জনগনের রক্ত পানি করা টাকা দিয়ে ফুটাঙ্গিরি চোদায় মাদারচোদ দুর্নীতিবাজ এগুলারে গালি দিতে ওরা বাধ্য করে এসব দুনীতিবাজদের জন্য মার্জিত কোন শব্দ অাসেনা প্রযোজ্যও নয়,1,politics
এগুলা আর কতো দেখমু পাগল ছাগল ইউটিওবার,1,entertainment
মাহির পাছা বড় হয়ে গেছে 🤣🤣🤣🤣😂😂😂🤣🤣🤭🤭🤣😂,1,entertainment
"ওরে চুতমারানি , সিফাত কাকা তোরে দিয়া ব্লোজব করানোর জন্য খুজতেছে , এই বার পাইলে তোরে প্রেগনেন্ট করে ছাড়বে ।",1,celebrity
মাগিপুলারে ফাসি দেওয়াহক,1,"Meme, TikTok and others"
এত বড দুধ দিয়া কি করবি মাগি,1,entertainment
সালিটা বড় নাস্তিক,1,religion
এই নাস্তিক দের কে মেরে মাটিতে পুতে দেওয়া উচিত,1,religion
সালিকে জতাপিটা করেন,1,crime
কেউ মরে দুঃখে আর কেউ সেইটা পুজি কইরা কামাইয়ের ধান্দা করে।আবাল পুলেপান।,1,sports
এই খানকির পোলারে কি বলবো আর,1,"Meme, TikTok and others"
ডিসির বৌ এখন খুব সুবিধা পাবে পর পুরুষের সাথে চুদাচুদি করতে পারবে,1,crime
মাদার চোদ গো অবস্থা দেকলে নিজেকে সামলাতে পরিনা,1,politics
কুত্তার বচ্ছা পাপোন কে গুনো পিটোনি দেওয়া দরকার,1,sports
পরীচালক কি পাগল না ছাগল মানুষ টাকা দিয়া এসব ছবি চাযনা ছবি চায় ময়ূরীর মুনমুন নের ছবি চায়,1,entertainment
আপা কয়দিন খবর পরবেন তারপর ভূলে জাবেন আসল পদকতো বূকে পোদক নিয়ে কি হবে ডিসি চিনতা করে আরো নতূন মাল পাবো,1,crime
কাওয়া কাদের বড মাগিবাজ ও দুর্নিবাজ ওকে জুতা মারুন,1,politics
ত রা পুটকি মারা খা সালারা,1,crime
জাফর এক বাল😃😃,1,celebrity
মাদারচুদ পিরের পোলাররে জোতা মার আমারে লো,1,religion
মাগি কে পাবলিক কেনো দোলাই দিচ্ছে না,1,crime
কমেন্ট কোরতে লজ্জা লাগে আমার খানকির বাচ্চা রা একটা তাজা প্রাণ কেড়ে নিয়েছে,1,crime
সালা বদমাইশ,1,crime
উপর আর নিচ কি মাদার এর বাচ্ছা,1,crime
এই রকম ছেলেকে পুড়িয়ে মারা উচিত,1,"Meme, TikTok and others"
তুই শালা বক বক করস বেশি চুপ থাক হালার বাই,1,sports
পারে না সূরা ফাতেহা বলতে ওরা আবার মামুনুল হকের ভুল ধরে হালার নাস্তিক কতগুলা,1,religion
মমুকে আমরা চুদে দেব্্্্ চুদে বোদা ফাটিয়ে দেব।,1,entertainment
শালা পাপইন্না গু হারা হারবি,1,sports
কুত্তার বাচ্চা তুই এতো বড় দাড়ি রাখলি কেন এইসব কাফের দের মানুষ জুতা দিয়ে পিটিয়ে মেরে ফেলুন,1,religion
মাদারচোদের মুখে হিসু করতে মন চায়।,1,celebrity
নামাজ নিয়ে কথা বল্লে তোকে তোর কুত্যা দিয়ে খাওয়াবো,1,"Meme, TikTok and others"
কেন এই শালা পাপন শভাপতি থেকে সরায়না,1,sports
পতিতা উপস্তাপিকা 😡,1,religion
তোর মাইয়ারে চোদি হালার পুত ভুয়া নিউজ কেন দিস,1,sports
বাপ্পি সালা আবাল চুদা,1,"Meme, TikTok and others"
শালারপুত পাপন তোর হাত আছে এখানে,1,sports
"সরকারি উচ্ছিষ্টভোগী, ভুয়া চেতনাধারী, ওপারের দাদা বাবুদের দালাল।  আন্দোলন ফলপ্রসূ হবার পর এখন গর্ত থেকে বের হয়েছে।",1,celebrity
ওই। কুত্তার বাচ্চা যে মারা গেছে সে আসলো কি করে মোটা চোদা,1,religion
এ হালার ঘরের হালা,1,sports
তোমার মত বেশ্যার খদ্দরের কারণে এসব ঘটে।।।,1,celebrity
এই মালা উনের বাচ্চা কে জিন্দা পোরা উচিত,1,politics
খানকির পোলা সাহাবীরা চুল কামাইছেন,1,religion
গালি দিছে ঠিক আছে তার ভুল হইছে তার জন্য বলছে তারপর অই মানুষটারে জা তা বলতাছ সালা মাদার চোদ জারা এই টা তুইলা ছারছে তারা হইল মাদার চোদ,1,sports
সারা বাংলাদেশের মানুষ মিলেপাপনের গালে জুতা মারা উচিৎ,1,sports
মাদারচুদরে দেখেই বুঝা যাচ্ছে ও লুচ্ছা একটা,1,crime
বাটপার খানকির পুলা,1,religion
তোরা কুরাআনের কি বুঝো মুনাফেক দেওয়ান বাগি কুওার বাচ্চারা,1,religion
মাগি মিথ্যা বলে বুদার মাঝে তৈল ডেলে আগুন দেয়া দরকার,1,crime
সোনা খারা হয় মাদারি,1,"Meme, TikTok and others"
আমার তো তোমাকে গালার খুব ইচ্ছে করছে কারন তুমি একজন মুসলিম হয়ে তোমার মাথায় টুপি নাই আর ভিডিও বানাচ্ছো সারা দেশের মাঝে মুসলমানদেরকে নিশা দেখাচ্ছ হিন্দু মুসলিম সবাই তো ভিডিওটি দেখছে ত মুসলমানির তো বদনাম হচ্ছে শালা কুত্তা,1,religion
এই সালা কউয়া নাতকি হারামি কুতা বাইচচা,1,politics
তুই একটা বেদব তাবলিগ নিয়ে কথা বলতে তুই সাহস পাইলি কই বেদবের বাচ্চা তুই কি আমাদের মূর্খ মনে করস,1,religion
এগোলি ছাগল,1,sports
আল্লাহর ধরা কঠিন ধরা।জেদিন ধরবে সেদিন বুঝবে নাস্তিক কুত্তার বাচ্চারা,1,religion
আমি বুঝলাম না দেশে এতো সমস্যা থাকতে মিডিয়া কেন এই বালের পিছনে পড়ে আছে🙄,1,crime
সব মানুষ আপন হয় না জেমন পাপন আপন হইতে পারে না শালা হারামির বাচ্চা,1,sports
আমাদের সুন্দর দেশটা কিছু মানুষ রুপি কুত্তার কারনে ধংশের পথে আল্লাহ আমাদের সহিহ বুজ বুজার তাওফিক দান করুন আমিন,1,crime
তোর মায়ের মাং খান্কি মাগির পুত,1,politics
এখানে দেখি খানকির পোলারা প্রের্মাস হোয়ার লাইগা এমন কোরে এই লোকটাকে হয়রানি কোরতেছে জার্চি পরা মাগির পুততো হিরনছি খানকির পোলার পোলাটা বার বার কছম বোলতেছে তার পরও হয়রানি কোরলি কেন মাগির পুত তগোরে মুরসিক ভাই কিছু দিবে মনে হয়,1,sports
আমি ঐখানে থাকলে ওই শালা মাগির উপর স্যান্ডেল চর মারতাম,1,entertainment
তর মতো বাইন্চোদরা বাংলাদেশ কে নষ্ট করছে কই বললিনা কখন সে খেলবে ইংলেন্ডের হয়ে,1,sports
এই কুত্তার বাচ্চা না জন্মালে ও চলতো,1,"Meme, TikTok and others"
হারামজাদা পিটিয়ে মেরে ফেলা উচিৎ,1,"Meme, TikTok and others"
শাউয়া...তোরে কেউ চোদে না শাউয়া...তুই এইবার অফ যা😡 তোর চোখের চশম জোড়া গোল গোল শাউয়া...তুই আস্ত একটা মাদারচো*🐸,1,celebrity
ভাই সোনা রানা।,1,entertainment
তরে চুদি তর বোনকেও চুদি,1,sports
ফকির মাগী কে আবার ভিখারী করে দাও,1,"Meme, TikTok and others"
কাউয়া কাদের সাহেব একজন সেতু মন্ত্রী রডের বদলে দেওয়া হয় বাঁশ সিমেন্টের জন্য দেওয়া হয় কাঁদা মাটি উদ্বোধনের আগেই ব্রিজ ভেঙে যায় বুঝতেই পারছেন এতো দামি ঘড়ি গুলো কোথায় থেকে এসেছে ???,1,politics
এই পাগলটা কোন জানোয়ার যে ইসলামের বিরধে কথা বলে,1,religion
পাপন জারযের বাচ্ছার পদত্যাগ চাই।,1,sports
পাপন তুই হলি আসল মাদারচোদতুর সাথে যারা আছে বাংলাদেশ ক্রিকেট বোর্ডে তারা সবাই একেকটা মাদারচোদ,1,sports
সালারে মিনিট পিটাতে পারতাম সালিরে মিনিট চুদে পারতাম,1,entertainment
এই শালীর ঘরের শালী চুদানির ঘরের চুদানি তোর মাকে চুদুম তোরে চুদুম তোর মেয়ে ও বোন কে চুদুম ভারতীয় সেনারা ভয়ে পালাচ্ছে না তোর মার হেডাত যাচ্ছে চুদতে এই শালী আর যদি টাকার জন্য এমন মিথ্যা নিউস আপলোড করিস তাহলে তুই তোর বাবার সাথে এবং তোর ভাইয়ের সাথে চুদে ব্লু ফ্লিম কর অনেক টাকা পাবি শালী তোকে ও তোর মাকে চুদবো,1,"Meme, TikTok and others"
তোরে জুতা দিয়ে পিটাব খানকি মাগি,1,crime
এইটা একটা কুত্তার বাচ্চা,1,religion
আ।।।।।।।বা।।।।।।।।ল।,1,celebrity
তুই জে একটা বেশ্বামাগি তা ভালো করে বুঝলাম,1,entertainment
দেওয়ানবাগীর ভন্ড পীরের গালে গালে জুতা মারি ওই পণ্য রে পণ্য তার তো জন্ম ঠিক নেই সে তো নাস্তিক শালার ভন্ড তাহেরী জুতা মার শালারে গালে ইউর বাস্টার,1,religion
বাহ শালারপু,1,crime
সালা মাদার চোদ,1,religion
"হালায় লীগ_কানা, ফ্রীক_চোদা!!  And This bullshit ""তৈল_ইকবালীয়_রচনা"" is Enough to UNLIKE this কওমী_মাতা'র_ফাকার Page.... Keep Away Your Oily_Dumb_AssHole,  Muhammedzafariqbal Pak 😖",1,celebrity
সব কাজ এই সালা পাপন এর তাকে বিসিবি থেকে বাদ দিয়ে মাসরাফি ভাই কে দেখতে চাই বিসিবি,1,sports
লুঙ্গি লীগ হেলমেট লীগ ডিম লীগ জাইঙ্গা লীগ কুকুর লীগ বিড়াল লীগ চাপাতি লীগ খুনি লীগ ধর্ষক লীগ।।।।।,1,politics
ববি তো একটা ভালো পতিতা,1,entertainment
পাপন মাদারচুদ,1,sports
জাতীয় বোকাচোদা,1,celebrity
এই দারিয়ালা মাদারচোদ কে ওকে তো আমি কোনোদিনোও টিভিতে দেখি নাই,1,entertainment
মিন্নি মাগী হইলো সব নাটেরগুরু ওর হাটা কেমন মনে হয় শুটিং করছে ওর স্বামীকে মারছে আর ও স্বাভাবিক থাকলো কেমন করে!! ওই জামাইকে মারাইছে ওর ফাঁসি চায় বাংলার মানুষ,1,crime
নিচ তালা ভারা দিয়ে তো দোতালা করছে এবার নিচ তালা আর দোতালা ভারা দিয়ে কি তিন তালা করার সগ জাগছে একটা পুরাই একটা খানকি গাজ ভালো তো ফল ভালো আর কিছু বল্লাম না,1,entertainment
কিরে বান্দির পুত তুই এখন কই থাকস,1,celebrity
আরে বোকাসোদা আমার বালের অভিনয় করছত? বাস্তব এর কোনো মিল নেই,1,crime
সাকিব এর বুক টা ফেটে যাচ্ছে ।।।আহ্ রে সালা চুতিয়া পাপন,1,sports
